,CoinName,Algorithm,IsTrading,ProofType,TotalCoinsMined,TotalCoinSupply
808,808,SHA-256,TRUE,PoW/PoS,0,0.00
2015,2015 coin,X11,TRUE,PoW/PoS,,0.00
ETH,Ethereum,Ethash,TRUE,PoW,107684222.7,0.00
XMR,Monero,CryptoNight-V7,TRUE,PoW,17201143.14,0.00
DT,DarkToken,NIST5,TRUE,PoW/PoS,,0.00
CETI,CETUS Coin,Scrypt,TRUE,PoW/PoS,,0.00
AGS,Aegis,X13,TRUE,PoS,,0.00
BLU,BlueCoin,Scrypt,TRUE,PoW/PoS,635423900,0.00
ENRG,EnergyCoin,Scrypt,TRUE,PoW/PoS,123062801.1,0.00
CAIX,CAIx,Scrypt,TRUE,PoS,,0.00
DEM,eMark,SHA-256,TRUE,PoW/PoS,0,0.00
EXCL,Exclusive Coin,PoS,TRUE,PoS,5679705,0.00
FLT,FlutterCoin,Scrypt,TRUE,PoS/PoW/PoT,461829905.3,0.00
HAL,Halcyon,X15,TRUE,PoW/PoS,0,0.00
HYP,HyperStake,X11,TRUE,PoS,1678520091,0.00
MINT,MintCoin,Scrypt,TRUE,PoS,21293925445,0.00
MN,Cryptsy Mining Contract,SHA-256,TRUE,PoW,,0.00
NAV,NavCoin,X13,TRUE,PoW/PoS,66087096.21,0.00
OPAL,OpalCoin,X13,TRUE,PoW/PoS,15156364.33,0.00
RDD,Reddcoin,Scrypt,TRUE,PoW/PoS,29315567169,0.00
SLG,SterlingCoin,X13,TRUE,PoS,,0.00
SUPER,SuperCoin,X11,TRUE,PoS,50707661.75,0.00
URO,UroCoin,X11,TRUE,PoW,1207310,0.00
UTIL,Utility Coin,X13,TRUE,PoW/PoS,0,0.00
VDO,VidioCoin,X11,TRUE,PoW/PoS,,0.00
VOOT,VootCoin,X11,TRUE,PoW,0,0.00
VRC,VeriCoin,Scrypt,TRUE,PoST,32021108.41,0.00
XAI,SapienceCoin,X11,TRUE,PoB/PoS,,0.00
XCR,Crypti,Multiple,TRUE,PoS,100000000,0.00
XST,StealthCoin,X13,TRUE,PoW/PoS,33093725.41,0.00
FAIR,FairCoin,Groestl,TRUE,PoW/PoS,53193831,0.00
RBY,RubyCoin,Scrypt,TRUE,PoS,27184490.39,0.00
SSD,Sonic Screw Driver Coin,SHA-256,TRUE,PoW/PoS,,0.00
8BIT,8BIT Coin,Scrypt,TRUE,PoW/PoS,1467841,0.00
NKT,NakomotoDark,X11,TRUE,PoW/PoS,,0.00
XPB,Pebble Coin,CryptoNight,TRUE,PoW,,0.00
SMAC,Social Media Coin,X11,TRUE,PoW/PoS,,0.00
UIS,Unitus,Multiple,TRUE,PoW,65113302,0.00
CYP,CypherPunkCoin,QuBit,TRUE,PoW,6365285,0.00
QBK,QuBuck Coin,X13,TRUE,PoS/PoB,,0.00
MARYJ,MaryJane Coin,X15,TRUE,PoW/PoS,0,0.00
GIG,GigCoin,X11,TRUE,PoW,,0.00
CC,CyberCoin,Scrypt,TRUE,PoW/PoS,0,0.00
METAL,MetalCoin,Scrypt,TRUE,PoW,,0.00
XG,XG Sports,XG Hash,TRUE,PoW/PoS,,0.00
ROS,ROS Coin,X11,TRUE,PoW/PoS,,0.00
UNAT,Unattanium,SHA-256,TRUE,PoW,0,0.00
EVENT,Event Token,Scrypt,TRUE,PoW/PoS,,0.00
VIOR,ViorCoin,Scrypt,TRUE,PoW/PoS,0,0.00
EQM,Equilibrium Coin,SHA-256,TRUE,PoW/PoS,,0.00
ISL,IslaCoin,X11,TRUE,PoW/PoS,1513704,0.00
XNA,DeOxyRibose,X11,TRUE,PoS,,0.00
SKB,SkullBuzz,SHA-256,TRUE,PoS,,0.00
FCS,CryptoFocus,X11,TRUE,PoW/PoS,,0.00
MWC,MultiWallet Coin,X11,TRUE,PoW/PoS,,0.00
XMS,Megastake,X11,TRUE,PoW/PoS,,0.00
SIGU,Singular,Scrypt,TRUE,PoW/PoS,0,0.00
M1,SupplyShock,X13,TRUE,PoW/PoS,,0.00
DB,DarkBit,Scrypt,TRUE,PoW/PoS,,0.00
BITL,BitLux,X11,FALSE,PoW/PoS,,0.00
FUTC,FutCoin,X13,TRUE,PoW/PoS,,0.00
NANAS,BananaBits,Scrypt,TRUE,PoW/PoS,,0.00
CIRC,CryptoCircuits,vDPOS,TRUE,PoS,0,0.00
